,ACID,ETMSID,DEST,ACENTR,ORIG,DCENTR,ETD,ETA,DFIX,EDFT,DP,DTRSN,AFIX,EAFT,STAR,STRSN,USR,TYPE,CTG,CLS,ARTD,ARTA,SGTD,SGTA,IGTD,IGTA,PGTD,PGTA,PETE,LRTD,LRTA,LGTD,LGTA,ERTD,ERTA,OUT,OFF,ON,IN,OETD,OETA,BETD,BETA,OCTD,OCTA,CTD,CTA,ASLOT,CTL_ELEM,CTL_PRGM,CTL_TYPE,CTL_EXMPT,SL_HOLD,DVREC,UX,FX,RZ,RS,TO,DV,RM,ALD,GDP,AFP,CTOP,DAS,GSD,TOD,CTL_ALM,CDM_MBR,SUB,MAJOR,GCD,LTOD,NRP,LFG,III,ATV,SWP,DVT,ADC,FCA,WXR,Carrier,ID
3,NKS972,NKS972,DFW,ZFW,PHX,ZAB,A160753,A160948,ECLPS,160808,-,-,-,-,-,-,C,A320,J,L,160753,160948,160748,161000,160748,161000,160750,161005,-,160752,-,160748,161004,-,-,160741,160752,160948,160959,160800,161000,160800,161000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,Y,NKS,00752,000,-,-,-,-,-,-,-,-,-,NKS,972
10,EJA619,EJA619,DFW,ZFW,DAL,ZFW,L161012,L161024,AKUNA,-,-,-,BEREE,-,-,-,T,C56X,J,L,-,-,-,-,161006,161030,160936,160951,5,161012,161024,161006,161030,-,-,-,-,-,-,161012,161024,161012,161024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,Y,EJA,00010,000,-,-,-,-,-,-,-,-,-,EJA,619
23,AAL2603,AAL2603,DFW,ZFW,SMF,ZOA,A160741,E161045,MACUS,160804,SCTWN,MACUS,-,-,-,-,C,B738,J,L,160741,-,160735,161058,160735,161058,160735,161050,-,160741,161049,160728,161058,160741,161049,160728,160741,-,-,160742,161047,160742,161047,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,AAL,01240,000,-,-,-,-,-,-,-,-,-,AAL,2603
506,N59AP,N59AP,DFW,ZFW,DAL,ZFW,L161930,L161942,AKUNA,-,-,-,BEREE,-,-,-,G,GLF4,J,L,-,-,-,-,161930,161947,-,-,-,161930,161942,161925,161947,-,-,-,-,-,-,161930,161942,161930,161942,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,-,XAA,00010,000,-,-,-,-,-,-,-,-,-,N,59AP
