,ACID,ETMSID,DEST,ACENTR,ORIG,DCENTR,ETD,ETA,DFIX,EDFT,DP,DTRSN,AFIX,EAFT,STAR,STRSN,USR,TYPE,CTG,CLS,ARTD,ARTA,SGTD,SGTA,IGTD,IGTA,PGTD,PGTA,PETE,LRTD,LRTA,LGTD,LGTA,ERTD,ERTA,OUT,OFF,ON,IN,OETD,OETA,BETD,BETA,OCTD,OCTA,CTD,CTA,ASLOT,CTL_ELEM,CTL_PRGM,CTL_TYPE,CTL_EXMPT,SL_HOLD,DVREC,UX,FX,RZ,RS,TO,DV,RM,ALD,GDP,AFP,CTOP,DAS,GSD,TOD,CTL_ALM,CDM_MBR,SUB,MAJOR,GCD,LTOD,NRP,LFG,III,ATV,SWP,DVT,ADC,FCA,WXR,Carrier,ID,ETA_Status,ETD_Status,AFIX_New,EAFT_New,Route_ID,Route_ID_New,Route_ID_New_TOS,Extra Wind Miles,Flight_Status,Ref_Central_Time
35,ENY4091,ENY4091,DFW,ZFW,SJT,ZFW,2018-07-16 10:16:00,2018-07-16 10:57:00,-,-,-,-,BOOVE,2018-07-16 10:42:00,BOOVE4,BOOVE,C,E145,J,L,-,-,161001,161111,161001,161111,-,-,-,161016,161057,161001,161111,161016,161057,-,-,-,-,161016,161057,161016,161057,-,-,-,-,-,-,-,-,-,Y,-,-,Y,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,AAL,00199,000,-,-,-,-,-,-,-,-,-,ENY,4091,L,L,BOOVE,2018-07-16 10:42:00,,,,,,2018-07-16 03:46:00-05:00
210,ASH5913,ASH5913,DFW,ZFW,ABQ,ZAB,2018-07-16 13:03:00,2018-07-16 14:20:00,MNZNO,161306,MNZNO,TXO,VKTRY,2018-07-16 14:11:00,VKTRY2,TURKI,T,CRJ9,J,L,-,-,161249,161437,161249,161437,-,-,-,161303,161420,161249,161437,161303,161420,-,-,-,-,161303,161420,161303,161420,-,-,-,-,-,-,-,-,-,Y,-,-,Y,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,AAL,00493,000,-,-,-,-,-,-,-,-,-,ASH,5913,L,L,VKTRY,2018-07-16 14:11:00,,,,,,2018-07-16 06:33:00-05:00
