,ACID,ETMSID,DEST,ACENTR,ORIG,DCENTR,ETD,ETA,DFIX,EDFT,DP,DTRSN,AFIX,EAFT,STAR,STRSN,USR,TYPE,CTG,CLS,ARTD,ARTA,SGTD,SGTA,IGTD,IGTA,PGTD,PGTA,PETE,LRTD,LRTA,LGTD,LGTA,ERTD,ERTA,OUT,OFF,ON,IN,OETD,OETA,BETD,BETA,OCTD,OCTA,CTD,CTA,ASLOT,CTL_ELEM,CTL_PRGM,CTL_TYPE,CTL_EXMPT,SL_HOLD,DVREC,UX,FX,RZ,RS,TO,DV,RM,ALD,GDP,AFP,CTOP,DAS,GSD,TOD,CTL_ALM,CDM_MBR,SUB,MAJOR,GCD,LTOD,NRP,LFG,III,ATV,SWP,DVT,ADC,FCA,WXR,Carrier,ID
75,ENY3612,ENY3612,DFW,ZFW,SPS,ZFW,A061555,E061619,-,-,-,-,-,-,SHAAM2,GREGS,C,E135,J,L,061555,-,061531,061634,061531,061634,061531,061605,-,061555,061619,061523,061636,061555,061619,061523,061555,-,-,061545,061609,061555,061619,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,AAL,00098,010,-,-,-,-,-,-,-,-,-,ENY,3612
217,AAL221,AAL221,DFW,ZFW,EHAM,ZEU,A060853,E061836,-,-,-,-,-,-,-,-,C,B772,J,H,060853,-,060820,061900,060820,061900,-,-,-,060853,061828,060819,061840,060853,061828,060819,060853,-,-,060852,061834,060852,061834,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,AAL,04263,000,-,-,-,-,-,-,-,-,-,AAL,221
