,ACID,ORIG,AFIX,EAFT,AFIX_Now,EAFT_Now
0,ASH5784,PIA,BRDJE,2018-06-15 22:00:00,BRDJE,2018-06-15 21:42:00
1,RPA6094,DTW,BRDJE,2018-06-15 22:13:00,BRDJE,2018-06-15 21:56:00
2,ASQ2849,HSV,BRDJE,2018-06-15 22:35:00,BEREE,2018-06-15 22:22:00
3,N866VP,OAJ,BRDJE,2018-06-15 22:34:00,,
4,SKW4192,CVG,BRDJE,2018-06-15 22:55:00,BRDJE,2018-06-15 23:07:00
