,ACID,ORIG,AFIX,EAFT,AFIX_Now,EAFT_Now
0,AAL320,ORF,BRDJE,2018-06-15 22:10:00,BEREE,2018-06-15 22:09:00
1,ASH5937,BMI,BRDJE,2018-06-15 22:08:00,BRDJE,2018-06-15 21:55:00
2,AAL1135,STL,BRDJE,2018-06-15 22:16:00,VKTRY,2018-06-15 22:22:00
3,ASH5932,JAN,BRDJE,2018-06-15 22:33:00,BEREE,2018-06-15 22:26:00
