,ACID,ORIG,AFIX,EAFT,AFIX_Old,EAFT_Old
0,AAL1492,CMH,BRDJE,2018-06-15 22:22:00,BRDJE,2018-06-15 21:47:00
1,AAL2536,MSY,BRDJE,2018-06-15 22:15:00,BEREE,2018-06-15 22:09:00
