id,airline_code,departure_station,arrival_station,route_id_in_FOS,miles,Wind Miles,route_string(excluding departure and arrival stations)
81,AAL,SAV,DFW,21,830,830,DCT DBN DCT MGM DCT MLU DCT YUYUN WHINY4
82,AAL,SAV,DFW,24,905,905,DCT MCN J45 ATL J14 LIT DCT MEEOW DCT FEWWW BRDJE3
83,AAL,SNA,DFW,2,1091,1091,PIGGN2 CNERY DCT BLH J169 TFD J50 SSO J4 INK DCT GEEKY SOCKK3
84,AAL,SNA,DFW,11,1101,1101,PIGGN2 AVRRY DCT PKE DCT KA27O DCT SJN J74 MAXXO DCT TXO DCT TURKI JOVEM4
85,AAL,TUL,DFW,22,255,255,DCT PEJAY DCT AXXEE BRDJE3
86,AAL,TUL,DFW,28,289,289,DCT YARNS DCT IBAKE JOVEM4
87,ASH,TUL,DFW,22,255,255,DCT PEJAY DCT AXXEE BRDJE3
88,ASH,TUL,DFW,28,289,289,DCT YARNS DCT IBAKE JOVEM4
89,ASQ,TYS,DFW,31,707,707,DCT SYI DCT MEM J66 LIT DCT MEEOW DCT FEWWW BRDJE3
90,SKW,TYS,DFW,31,707,707,DCT SYI DCT MEM J66 LIT DCT MEEOW DCT FEWWW BRDJE3
