Carrier,ID,ORIG,Ref_Central_Time,ETD,AFIX,AFIX_New,EAFT,EAFT_New,Route_ID_New,Extra Wind Miles
AAL,1090,TUL,2018-07-07 05:38:00,2018-07-07 12:08:00,BRDJE,VKTRY,2018-07-07 12:39:00,2018-07-07 12:43:04,28,34
AAL,1302,RDU,2018-07-07 05:21:00,2018-07-07 11:51:00,BRDJE,BEREE,2018-07-07 14:07:00,2018-07-07 14:08:12,24,10
AAL,1344,CHS,2018-07-07 05:36:00,2018-07-07 12:06:00,BRDJE,BEREE,2018-07-07 14:01:00,2018-07-07 13:56:12,22,-40
AAL,2204,RIC,2018-07-07 05:25:00,2018-07-07 11:55:00,BRDJE,BEREE,2018-07-07 14:05:00,2018-07-07 14:06:19,27,11
AAL,2301,OKC,2018-07-07 09:20:00,2018-07-07 15:50:00,VKTRY,BRDJE,2018-07-07 16:14:00,2018-07-07 16:22:24,26,70
